Year,Annual mean temperature 
2006,6.086
2007,5.8868
2008,5.2862
2009,6.5422
2010,5.6415
2011,5.609
2012,5.9508
2013,5.9932
2014,5.962
2015,4.8037
2016,6.3774
2017,6.4838
2018,5.4188
2019,6.1324
2020,6.5292
2021,5.7883
2022,5.3712
2023,6.5057
2024,5.8989
2025,5.5254
2026,5.5793
2027,6.4737
2028,5.4663
2029,5.8878
2030,6.705
2031,5.9081
2032,6.4184
2033,6.7275
2034,5.651
2035,6.1282
2036,6.4507
2037,5.6911
2038,6.4447
2039,6.5266
2040,6.2946
2041,6.566
2042,5.817
2043,5.7917
2044,5.9614
2045,6.6308
2046,6.1119
2047,6.7996
2048,7.0928
2049,6.4808
2050,6.3246
2051,6.6799
2052,6.6157
2053,6.6647
2054,6.8257
2055,6.9357
2056,6.7023
2057,6.7721
2058,7.1428
2059,6.4624
2060,6.4841
2061,6.6422
2062,6.7523
2063,6.8354
2064,7.0026
2065,7.0365
2066,6.3877
2067,7.4597
2068,7.602
2069,7.1968
2070,7.7566
2071,7.4129
2072,7.1747
2073,6.9599
2074,7.1808
2075,7.6644
2076,7.2604
2077,7.3415
2078,7.4037
2079,6.9021
2080,7.5523
2081,7.7775
2082,7.9382
2083,8.6294
2084,7.7685
2085,7.7122
2086,7.9248
2087,7.7647
2088,7.8299
2089,7.7958
2090,8.0038
2091,8.1267
2092,7.539
2093,8.5246
2094,8.158
2095,8.2851
2096,7.8484
2097,8.0984
2098,8.8307
2099,9.0599
